"row ID","age_group","detection_group","sum_fines_of_each_method_in_each_group","total_fines_of_each_group","percentage_in_age_group"
"Row0_Row0","0-16","Camera",22364,23933,93.44419838716416
"Row1_Row0","0-16","Other",714,23933,2.98332845861363
"Row2_Row0","0-16","Police Issued",855,23933,3.5724731542222035
"Row3_Row1","17-25","Camera",451194,708386,63.693240690809816
"Row4_Row1","17-25","Other",12310,708386,1.7377531458837414
"Row5_Row1","17-25","Police Issued",244882,708386,34.56900616330645
"Row6_Row2","26-39","Camera",1270875,1679835,75.65475180598095
"Row7_Row2","26-39","Other",18939,1679835,1.1274321585155684
"Row8_Row2","26-39","Police Issued",390021,1679835,23.217816035503485
"Row9_Row3","40-64","Camera",1948556,2366643,82.3341754544306
"Row10_Row3","40-64","Other",11641,2366643,0.4918781582182019
"Row11_Row3","40-64","Police Issued",406446,2366643,17.173946387351197
"Row12_Row4","65 and over","Camera",553216,639821,86.46418295116915
"Row13_Row4","65 and over","Other",1125,639821,0.17583042757271175
"Row14_Row4","65 and over","Police Issued",85480,639821,13.359986621258132
